2013,KP,4026,Bioinformatics,9
2013,LP,4026,Bioinformatics,9
2013,KL,4026,Bioinformatics,9
2014,KP,4026,Bioinformatics,8
2014,LP,4026,Bioinformatics,8
2014,KL,4026,Bioinformatics,8
2015,KL,4026,Bioinformatics,10
2015,KP,4026,Bioinformatics,10
2015,LP,4026,Bioinformatics,10
2015,KP,5398,Bioinstrumentation,12
2005,KV,314,Biology,1069
2006,KV,314,Biology,795
2007,KV,314,Biology,908
2008,KV,314,Biology,876
2009,KV,314,Biology,811
2010,KV,314,Biology,784
2011,KV,314,Biology,816
2012,KV,314,Biology,697
2013,KV,314,Biology,619
2014,KV,314,Biology,707
2015,KV,314,Biology,730
2005,KV,319,Biophysics & Computnl Biology,68
2006,KV,319,Biophysics & Computnl Biology,59
2007,KV,319,Biophysics & Computnl Biology,67
2008,KV,319,Biophysics & Computnl Biology,75
2009,KV,319,Biophysics & Computnl Biology,70
2010,KV,319,Biophysics & Computnl Biology,65
2011,KV,319,Biophysics & Computnl Biology,70
2012,KV,319,Biophysics & Computnl Biology,67
2013,KV,319,Biophysics & Computnl Biology,54
2014,KV,319,Biophysics & Computnl Biology,54
2015,KV,319,Biophysics & Computnl Biology,46
2015,KV,5414,Biophysics & Quant Biology,8
2005,KT,381,Broadcast Journalism,79
2006,KT,381,Broadcast Journalism,84
2007,KT,381,Broadcast Journalism,75
2008,KT,381,Broadcast Journalism,138
2009,KT,381,Broadcast Journalism,154
2010,KT,381,Broadcast Journalism,136
2011,KT,381,Broadcast Journalism,157
2012,KT,381,Broadcast Journalism,149
2013,KT,381,Broadcast Journalism,179
2014,KT,381,Broadcast Journalism,144
2015,KT,381,Broadcast Journalism,100
2005,KM,79,Business Administration,952
2006,KM,79,Business Administration,754
2007,KM,79,Business Administration,509
2008,KM,79,Business Administration,254
2009,KM,79,Business Administration,110
2010,KM,79,Business Administration,58
2011,KM,79,Business Administration,44
2012,KM,79,Business Administration,47
2013,KM,79,Business Administration,69
2014,KM,79,Business Administration,88
2015,KM,79,Business Administration,89
2005,KM,9875,Business Administration (MBA),238
2006,KM,9875,Business Administration (MBA),329
2007,KM,9875,Business Administration (MBA),371
2008,KM,9875,Business Administration (MBA),355
2009,KM,9875,Business Administration (MBA),345
2010,KM,9875,Business Administration (MBA),319
